c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
gun,sight,gunsight,1,12.4,0.097973356,0.118726289,0.3382045328617096,0.23690176010131836,0.4006369113922119,1
door,sill,doorsill,2,12.5,0.359919785,0.43043049,0.3146142065525055,0.5238096714019775,0.5130756497383118,1
window,sill,windowsill,2,10.0,-0.310351733,-0.312624323,0.49382755160331726,0.28292205929756165,0.48108425736427307,1
window,sills,windowsills,2,10.0,-0.310351733,-0.312624323,0.32455044984817505,0.34094035625457764,0.4267185628414154,1
bed,sit,bedsit,1,11.0,-0.135056851,0.061003165,0.3038131296634674,0.09352970123291016,0.2572297155857086,1
camp,site,campsite,1,10.2,-0.273012797,-0.30001581899999996,0.440686970949173,0.3060897886753082,0.4909824728965759,1
web,site,website,1,10.2,-0.33719670799999996,-0.36287832700000006,0.6971436142921448,0.5487963557243347,0.7150439023971558,1
dump,site,dumpsite,1,10.2,-0.273012797,-0.30001581899999996,0.4761340320110321,0.3419678211212158,0.5161956548690796,1
camp,sites,campsites,1,10.2,-0.273012797,-0.30001581899999996,0.3160356283187866,0.3715040385723114,0.45791661739349365,1
web,sites,websites,1,10.2,-0.33719670799999996,-0.36287832700000006,0.6706950068473816,0.6857866048812866,0.789941132068634,1
baby,sitter,babysitter,1,10.7,-0.09635121,0.01442177,0.4921928942203522,0.5564286708831787,0.6566230654716492,1
baby,sitting,babysitting,2,10.7,-0.09635121,0.01442177,0.37922602891921997,0.1759158968925476,0.3761863708496094,1
down,sizing,downsizing,1,12.4,0.097973356,0.118726289,0.14428938925266266,0.3659418225288391,0.3577980101108551,1
speed,skater,speedskater,1,11.0,-0.135056851,0.061003165,0.14421647787094116,0.6147301197052002,0.5241597294807434,1
sheep,skin,sheepskin,1,10.2,-0.273012797,-0.30001581899999996,0.342568039894104,0.24113015830516815,0.3810126781463623,1
oil,skin,oilskin,2,11.3,-0.164960138,-0.113493392,0.1158423200249672,0.23467350006103516,0.2416030317544937,1
buck,skin,buckskin,2,10.5,-0.17075538899999998,-0.19607315600000003,0.17841611802577972,0.2554270327091217,0.29828783869743347,1
goat,skin,goatskin,2,12.2,-0.011308278,0.246067977,0.33657437562942505,0.20018334686756134,0.34912949800491333,1
seal,skin,sealskin,2,11.3,-0.164960138,-0.113493392,0.2577453553676605,0.15092720091342926,0.2649940550327301,1
deer,skin,deerskin,2,12.5,0.359919785,0.43043049,0.20778760313987732,0.20694027841091156,0.279190331697464,1
onion,skin,onionskin,2,12.4,0.097973356,0.118726289,0.2254934012889862,0.23701594769954681,0.30183467268943787,1
lamb,skin,lambskin,2,10.2,-0.33719670799999996,-0.36287832700000006,0.3671610355377197,0.272655725479126,0.4290255010128021,1
pig,skin,pigskin,2,10.3,-0.241733977,-0.182062803,0.25983449816703796,0.09182338416576385,0.22227546572685242,1
calf,skin,calfskin,1,8.16,-0.373559175,-0.397396751,0.2657613456249237,0.2789033055305481,0.3460221588611603,1
bear,skin,bearskin,2,12.5,0.359919785,0.43043049,0.2324194610118866,0.2752707600593567,0.3485103249549866,1
shark,skin,sharkskin,2,10.5,-0.17075538899999998,-0.19607315600000003,0.21719372272491455,0.393223375082016,0.3855428099632263,1
mole,skin,moleskin,2,13.4,1.573218026,1.990441865,0.16028043627738953,0.36869698762893677,0.32025668025016785,1
pig,skins,pigskins,2,10.3,-0.241733977,-0.182062803,0.30985382199287415,0.2448521852493286,0.3499823808670044,1
deer,skins,deerskins,2,12.5,0.359919785,0.43043049,0.20281019806861877,0.36135390400886536,0.35895270109176636,1
sheep,skins,sheepskins,1,10.2,-0.273012797,-0.30001581899999996,0.39098212122917175,0.2738204598426819,0.4213508367538452,1
oil,skins,oilskins,2,11.3,-0.164960138,-0.113493392,0.17333078384399414,0.31491169333457947,0.3355536162853241,1
goat,skins,goatskins,2,12.2,-0.011308278,0.246067977,0.3821646571159363,0.41042986512184143,0.503211498260498,1
bear,skins,bearskins,2,12.5,0.359919785,0.43043049,0.17362354695796967,0.31943371891975403,0.34132033586502075,1
buck,skins,buckskins,2,10.5,-0.17075538899999998,-0.19607315600000003,0.17752106487751007,0.3072472810745239,0.3238152265548706,1
back,slapper,backslapper,1,10.5,-0.17075538899999998,-0.19607315600000003,0.10378573089838028,0.2758074998855591,0.27792051434516907,1
back,slappers,backslappers,1,10.5,-0.17075538899999998,-0.19607315600000003,0.03099628910422325,0.36388787627220154,0.3081391751766205,1
man,slaughter,manslaughter,2,12.4,0.097973356,0.118726289,0.21725237369537354,0.17979678511619568,0.2656467854976654,1
dog,sled,dogsled,2,10.3,-0.241733977,-0.182062803,0.33639276027679443,0.5474964380264282,0.554744303226471,1
dog,sleds,dogsleds,1,10.3,-0.241733977,-0.182062803,0.1485045850276947,0.528632640838623,0.4592015743255615,1
